Age,Gender,Location,Parental Occupation,Study Hours,Previously Written JAMB,WAEC English Score,WAEC Maths Score,Internet Access,Understanding of Subjects,Confidence in JAMB Success,CBT Experience,Feelings about CBT,Learning Materials Availability,Educational Technology Usage,Support for Exam Preparation,Suggestions for School Improvement,Adequate JAMB Preparation,Result
19,Male,Epe (Public),Civil servant,1-3 hours,No,92,76,No,Poor,Not confident,No,Neutral,Good,Never,"Extra lessons, Counseling",More teachers,No,Fail
19,Female,Epe (Public),Artisan,1-3 hours,No,45,89,No,Good,Very confident,Yes,Uncomfortable,Fair,Occasionally,"Tutors, Counseling",More practical lessons,No,Fail
19,Female,Epe (Public),Teacher,3-5 hours,Yes,100,88,Yes,Excellent,Very confident,Yes,Comfortable,Good,Often,"Counseling, Extra lessons, Better textbooks",More practical lessons,No,Pass
20,Female,Victoria Island (Private),Civil servant,3-5 hours,No,81,65,No,Excellent,Somewhat confident,No,Uncomfortable,Poor,Always,"Counseling, Better textbooks, Tutors",More teachers,No,Fail
20,Female,Victoria Island (Private),Business owner,Less than 1 hour,Yes,91,51,No,Good,Very confident,No,Neutral,Fair,Occasionally,"More past questions, Better textbooks",More teachers,No,Fail
16,Male,Lekki (Private),Trader,Less than 1 hour,No,47,64,No,Poor,Confident,Yes,Comfortable,Excellent,Never,"Better textbooks, Counseling, Tutors",Improved facilities,No,Fail
16,Male,Victoria Island (Private),Civil servant,1-3 hours,No,50,92,No,Excellent,Confident,Yes,Neutral,Good,Always,Better textbooks,Extra classes,No,Pass
19,Male,Epe (Public),Trader,Less than 1 hour,No,94,49,No,Poor,Not confident,No,Neutral,Excellent,Never,"Tutors, More past questions, Better textbooks",Extra classes,No,Fail
18,Male,Ikorodu (Public),Teacher,1-3 hours,Yes,53,85,No,Excellent,Not confident,Yes,Neutral,Excellent,Never,"Counseling, Better textbooks",Extra classes,No,Fail
18,Female,Victoria Island (Private),Civil servant,1-3 hours,Yes,50,61,Yes,Average,Very confident,Yes,Neutral,Fair,Often,"Extra lessons, More past questions, Tutors",Extra classes,No,Pass
17,Male,Lekki (Private),Civil servant,More than 5 hours,Yes,80,64,Yes,Poor,Not confident,No,Comfortable,Good,Occasionally,"More past questions, Better textbooks, Counseling",More practical lessons,Yes,Fail
18,Female,Victoria Island (Private),Civil servant,More than 5 hours,Yes,87,96,Yes,Excellent,Very confident,Yes,Neutral,Fair,Often,Counseling,Improved facilities,No,Pass
16,Male,Ikorodu (Public),Artisan,Less than 1 hour,No,63,76,No,Excellent,Confident,Yes,Comfortable,Poor,Always,"Extra lessons, Tutors",More practical lessons,Yes,Pass
18,Female,Others,Business owner,Less than 1 hour,No,93,75,Yes,Average,Not confident,No,Comfortable,Good,Never,"More past questions, Counseling, Better textbooks",More practical lessons,No,Fail
19,Female,Lekki (Private),Trader,1-3 hours,Yes,99,98,No,Excellent,Very confident,Yes,Comfortable,Fair,Occasionally,"Counseling, Tutors, Extra lessons",Improved facilities,Yes,Pass
18,Male,Others,Business owner,Less than 1 hour,Yes,75,65,No,Good,Confident,Yes,Uncomfortable,Good,Often,"Tutors, More past questions",More teachers,Yes,Pass
19,Female,Epe (Public),Trader,3-5 hours,Yes,78,55,Yes,Average,Very confident,Yes,Uncomfortable,Good,Never,Counseling,Improved facilities,No,Pass
16,Female,Victoria Island (Private),Civil servant,Less than 1 hour,Yes,75,74,No,Excellent,Somewhat confident,No,Comfortable,Excellent,Often,Counseling,Improved facilities,No,Fail
18,Female,Others,Civil servant,More than 5 hours,Yes,85,83,No,Average,Confident,No,Comfortable,Excellent,Occasionally,"Tutors, Extra lessons, More past questions",More teachers,No,Fail
17,Female,Ikorodu (Public),Trader,3-5 hours,Yes,46,74,No,Average,Not confident,Yes,Uncomfortable,Good,Occasionally,Counseling,Improved facilities,No,Fail
20,Male,Victoria Island (Private),Trader,1-3 hours,Yes,45,41,Yes,Average,Not confident,No,Comfortable,Fair,Never,Counseling,Improved facilities,No,Fail
18,Female,Ikorodu (Public),Artisan,More than 5 hours,Yes,90,63,No,Poor,Confident,Yes,Neutral,Poor,Occasionally,"Better textbooks, Tutors",Improved facilities,No,Pass
20,Female,Lekki (Private),Business owner,1-3 hours,No,55,87,Yes,Average,Not confident,No,Comfortable,Excellent,Occasionally,"Better textbooks, Counseling, Extra lessons",More practical lessons,No,Fail
20,Female,Lekki (Private),Civil servant,1-3 hours,No,90,69,No,Poor,Confident,Yes,Comfortable,Fair,Always,"Better textbooks, Extra lessons",Extra classes,No,Pass
18,Female,Epe (Public),Civil servant,More than 5 hours,Yes,97,46,Yes,Poor,Very confident,Yes,Comfortable,Excellent,Occasionally,"More past questions, Better textbooks",More practical lessons,Yes,Fail
18,Male,Epe (Public),Civil servant,3-5 hours,No,53,64,No,Average,Somewhat confident,No,Comfortable,Poor,Always,Better textbooks,Extra classes,Yes,Fail
17,Male,Ikorodu (Public),Civil servant,3-5 hours,Yes,66,84,No,Excellent,Confident,No,Neutral,Fair,Always,"Counseling, Extra lessons",More practical lessons,Yes,Fail
18,Male,Victoria Island (Private),Civil servant,1-3 hours,No,76,85,No,Average,Confident,Yes,Comfortable,Poor,Always,"Better textbooks, More past questions, Tutors",More practical lessons,No,Pass
17,Female,Lekki (Private),Artisan,Less than 1 hour,No,51,47,No,Excellent,Not confident,Yes,Comfortable,Good,Always,"Better textbooks, More past questions",Improved facilities,Yes,Fail
20,Male,Others,Civil servant,3-5 hours,No,93,85,No,Good,Very confident,Yes,Uncomfortable,Poor,Never,"Tutors, Counseling",More teachers,No,Pass
17,Female,Others,Trader,More than 5 hours,No,64,77,Yes,Poor,Very confident,Yes,Uncomfortable,Fair,Often,Extra lessons,Extra classes,No,Pass
17,Female,Ikorodu (Public),Trader,More than 5 hours,No,44,93,No,Excellent,Somewhat confident,Yes,Comfortable,Poor,Always,"Counseling, More past questions, Extra lessons",Extra classes,No,Fail
19,Male,Epe (Public),Artisan,Less than 1 hour,Yes,66,53,Yes,Average,Not confident,No,Neutral,Fair,Occasionally,"Counseling, Tutors",Extra classes,Yes,Fail
18,Female,Others,Trader,Less than 1 hour,Yes,93,75,No,Poor,Very confident,No,Neutral,Poor,Often,Counseling,More practical lessons,No,Fail
16,Male,Victoria Island (Private),Teacher,More than 5 hours,No,65,53,Yes,Average,Somewhat confident,No,Neutral,Good,Often,"More past questions, Counseling, Tutors",More teachers,Yes,Fail
17,Male,Epe (Public),Teacher,More than 5 hours,No,51,51,No,Good,Confident,Yes,Uncomfortable,Excellent,Occasionally,"More past questions, Tutors, Counseling",Improved facilities,Yes,Pass
19,Male,Others,Trader,More than 5 hours,No,90,87,No,Good,Confident,Yes,Comfortable,Fair,Always,"Counseling, More past questions, Tutors",More teachers,Yes,Pass
17,Male,Victoria Island (Private),Artisan,Less than 1 hour,Yes,43,97,No,Excellent,Somewhat confident,No,Comfortable,Good,Occasionally,Better textbooks,More practical lessons,No,Fail
19,Male,Victoria Island (Private),Teacher,Less than 1 hour,Yes,50,87,No,Excellent,Confident,Yes,Uncomfortable,Fair,Always,"Counseling, Better textbooks",More practical lessons,Yes,Pass
17,Female,Victoria Island (Private),Business owner,More than 5 hours,Yes,54,78,Yes,Excellent,Confident,Yes,Comfortable,Good,Occasionally,"Tutors, Counseling, Better textbooks",Extra classes,Yes,Pass
17,Male,Epe (Public),Business owner,1-3 hours,Yes,93,84,Yes,Poor,Somewhat confident,No,Comfortable,Poor,Often,"Tutors, Extra lessons",More practical lessons,Yes,Fail
19,Female,Victoria Island (Private),Trader,1-3 hours,No,78,63,No,Good,Not confident,Yes,Comfortable,Fair,Always,Better textbooks,Improved facilities,No,Fail
19,Female,Epe (Public),Artisan,1-3 hours,Yes,85,47,Yes,Poor,Not confident,Yes,Uncomfortable,Good,Always,"Tutors, More past questions",More practical lessons,Yes,Fail
17,Female,Lekki (Private),Artisan,1-3 hours,No,48,84,Yes,Good,Somewhat confident,No,Uncomfortable,Fair,Always,"Tutors, Extra lessons",More practical lessons,No,Fail
20,Female,Others,Business owner,More than 5 hours,Yes,82,88,No,Poor,Somewhat confident,Yes,Uncomfortable,Poor,Often,More past questions,More practical lessons,Yes,Fail
20,Female,Lekki (Private),Business owner,3-5 hours,Yes,51,84,Yes,Average,Somewhat confident,No,Comfortable,Excellent,Occasionally,"Extra lessons, Counseling, Tutors",More teachers,Yes,Fail
16,Female,Lekki (Private),Civil servant,Less than 1 hour,Yes,87,95,No,Average,Not confident,No,Uncomfortable,Poor,Never,"Extra lessons, More past questions",Improved facilities,No,Fail
19,Female,Others,Teacher,More than 5 hours,No,65,59,Yes,Excellent,Not confident,Yes,Uncomfortable,Excellent,Often,"Tutors, Extra lessons",More practical lessons,Yes,Fail
18,Female,Others,Civil servant,Less than 1 hour,No,51,85,No,Excellent,Very confident,No,Neutral,Poor,Always,Extra lessons,Extra classes,Yes,Fail
19,Female,Lekki (Private),Business owner,Less than 1 hour,No,91,57,Yes,Average,Confident,Yes,Neutral,Good,Occasionally,Tutors,Improved facilities,No,Pass
19,Female,Epe (Public),Artisan,More than 5 hours,Yes,97,83,No,Average,Somewhat confident,No,Neutral,Good,Occasionally,"Tutors, Better textbooks, Extra lessons",Extra classes,No,Fail
16,Female,Epe (Public),Civil servant,1-3 hours,Yes,44,75,No,Average,Very confident,Yes,Comfortable,Excellent,Often,Tutors,More teachers,No,Fail
17,Male,Lekki (Private),Business owner,3-5 hours,Yes,47,84,No,Poor,Very confident,Yes,Uncomfortable,Fair,Occasionally,"Tutors, More past questions",More practical lessons,No,Fail
20,Male,Others,Business owner,More than 5 hours,No,47,70,No,Poor,Not confident,No,Comfortable,Excellent,Often,"More past questions, Better textbooks",Extra classes,No,Fail
17,Female,Ikorodu (Public),Civil servant,More than 5 hours,Yes,98,58,Yes,Poor,Somewhat confident,Yes,Neutral,Fair,Never,"Better textbooks, Counseling",More teachers,No,Fail
18,Female,Ikorodu (Public),Business owner,1-3 hours,Yes,87,100,No,Poor,Very confident,No,Comfortable,Good,Often,"Better textbooks, Counseling, Tutors",Improved facilities,No,Fail
19,Female,Ikorodu (Public),Teacher,3-5 hours,No,91,69,No,Good,Somewhat confident,Yes,Uncomfortable,Poor,Never,"Tutors, Better textbooks, More past questions",More teachers,Yes,Fail
18,Male,Epe (Public),Trader,Less than 1 hour,No,65,58,No,Excellent,Not confident,No,Comfortable,Excellent,Often,"Counseling, Extra lessons",More teachers,No,Fail
19,Male,Epe (Public),Trader,More than 5 hours,No,77,62,No,Average,Confident,No,Neutral,Fair,Often,"Better textbooks, More past questions",More practical lessons,Yes,Fail
16,Female,Ikorodu (Public),Teacher,Less than 1 hour,No,63,69,No,Average,Very confident,No,Uncomfortable,Fair,Occasionally,"Extra lessons, Better textbooks",More teachers,No,Fail
16,Male,Epe (Public),Civil servant,More than 5 hours,No,99,64,Yes,Average,Confident,No,Neutral,Fair,Occasionally,Tutors,More practical lessons,Yes,Fail
17,Female,Ikorodu (Public),Trader,More than 5 hours,No,94,41,Yes,Good,Confident,No,Neutral,Poor,Often,"Extra lessons, Counseling",More practical lessons,Yes,Fail
19,Female,Others,Civil servant,3-5 hours,No,100,67,Yes,Excellent,Very confident,No,Neutral,Excellent,Always,"Better textbooks, More past questions, Counseling",Extra classes,Yes,Fail
20,Male,Ikorodu (Public),Artisan,3-5 hours,No,42,55,Yes,Excellent,Very confident,No,Comfortable,Poor,Occasionally,"Better textbooks, More past questions, Counseling",Improved facilities,No,Fail
17,Female,Epe (Public),Business owner,Less than 1 hour,No,97,77,Yes,Average,Confident,No,Comfortable,Poor,Always,More past questions,Improved facilities,No,Fail
18,Female,Lekki (Private),Civil servant,3-5 hours,No,40,75,Yes,Poor,Very confident,Yes,Uncomfortable,Good,Often,Counseling,More practical lessons,Yes,Fail
16,Male,Lekki (Private),Business owner,More than 5 hours,No,80,87,Yes,Average,Very confident,No,Comfortable,Poor,Always,"Better textbooks, Tutors",Improved facilities,Yes,Fail
18,Male,Victoria Island (Private),Artisan,Less than 1 hour,Yes,40,41,No,Poor,Very confident,No,Neutral,Poor,Often,"Counseling, Tutors",More practical lessons,Yes,Fail
16,Female,Lekki (Private),Trader,Less than 1 hour,Yes,55,69,Yes,Average,Confident,No,Neutral,Good,Often,Tutors,More practical lessons,No,Fail
17,Female,Ikorodu (Public),Teacher,Less than 1 hour,Yes,62,93,No,Average,Very confident,No,Neutral,Good,Occasionally,"Better textbooks, Tutors",Improved facilities,Yes,Fail
17,Female,Lekki (Private),Artisan,1-3 hours,No,70,43,Yes,Good,Somewhat confident,Yes,Neutral,Poor,Often,Counseling,Improved facilities,No,Fail
18,Female,Epe (Public),Trader,More than 5 hours,Yes,89,82,Yes,Excellent,Not confident,Yes,Neutral,Fair,Never,"Extra lessons, Tutors",Extra classes,Yes,Fail
20,Female,Epe (Public),Business owner,Less than 1 hour,Yes,56,54,No,Poor,Confident,No,Neutral,Poor,Often,"Tutors, Extra lessons",Improved facilities,Yes,Fail
20,Male,Lekki (Private),Trader,Less than 1 hour,No,41,65,Yes,Poor,Somewhat confident,Yes,Uncomfortable,Fair,Often,Counseling,Extra classes,Yes,Fail
18,Female,Epe (Public),Artisan,More than 5 hours,Yes,80,75,No,Good,Not confident,No,Neutral,Good,Never,"Tutors, Extra lessons, Better textbooks",More practical lessons,Yes,Fail
20,Male,Victoria Island (Private),Civil servant,Less than 1 hour,Yes,65,57,Yes,Good,Confident,Yes,Uncomfortable,Excellent,Often,"More past questions, Counseling",Extra classes,Yes,Pass
20,Male,Victoria Island (Private),Artisan,More than 5 hours,Yes,84,83,Yes,Poor,Somewhat confident,Yes,Comfortable,Excellent,Occasionally,"Better textbooks, More past questions",Extra classes,Yes,Fail
17,Female,Others,Business owner,More than 5 hours,Yes,54,91,No,Poor,Confident,No,Comfortable,Fair,Often,Counseling,Extra classes,Yes,Fail
18,Female,Epe (Public),Artisan,Less than 1 hour,Yes,49,50,No,Poor,Very confident,No,Comfortable,Fair,Often,"Counseling, Better textbooks, Tutors",More teachers,Yes,Fail
20,Male,Others,Teacher,3-5 hours,Yes,55,90,Yes,Good,Somewhat confident,Yes,Neutral,Fair,Occasionally,Extra lessons,Extra classes,Yes,Fail
19,Male,Victoria Island (Private),Artisan,1-3 hours,Yes,66,95,Yes,Poor,Somewhat confident,No,Uncomfortable,Excellent,Always,Better textbooks,Improved facilities,No,Fail
17,Female,Lekki (Private),Trader,3-5 hours,Yes,64,98,Yes,Poor,Somewhat confident,Yes,Neutral,Good,Occasionally,Extra lessons,Extra classes,Yes,Fail
17,Male,Ikorodu (Public),Teacher,More than 5 hours,No,53,78,No,Good,Very confident,No,Comfortable,Fair,Often,"Better textbooks, Tutors, More past questions",Extra classes,Yes,Fail
18,Male,Others,Business owner,Less than 1 hour,No,83,51,No,Excellent,Confident,No,Comfortable,Poor,Always,"Extra lessons, More past questions",Extra classes,Yes,Fail
17,Female,Others,Trader,1-3 hours,No,70,51,Yes,Excellent,Confident,Yes,Uncomfortable,Fair,Always,"Better textbooks, Extra lessons",More practical lessons,No,Pass
20,Male,Others,Artisan,1-3 hours,Yes,79,45,No,Good,Somewhat confident,Yes,Uncomfortable,Poor,Never,Counseling,More practical lessons,No,Fail
20,Male,Ikorodu (Public),Teacher,3-5 hours,No,94,44,No,Excellent,Not confident,No,Uncomfortable,Good,Occasionally,More past questions,Extra classes,No,Fail
19,Male,Epe (Public),Business owner,Less than 1 hour,Yes,55,76,No,Excellent,Not confident,No,Comfortable,Excellent,Often,"More past questions, Extra lessons, Tutors",More teachers,Yes,Fail
20,Female,Lekki (Private),Trader,Less than 1 hour,No,40,65,No,Average,Confident,Yes,Comfortable,Excellent,Often,"Counseling, Extra lessons",More practical lessons,Yes,Fail
17,Male,Lekki (Private),Teacher,1-3 hours,Yes,75,68,No,Poor,Somewhat confident,Yes,Comfortable,Poor,Occasionally,Better textbooks,Improved facilities,Yes,Fail
17,Male,Epe (Public),Teacher,More than 5 hours,No,73,60,Yes,Good,Somewhat confident,Yes,Neutral,Poor,Always,More past questions,More practical lessons,No,Fail
17,Female,Victoria Island (Private),Trader,More than 5 hours,No,93,78,Yes,Average,Confident,Yes,Neutral,Fair,Occasionally,"Tutors, More past questions",Improved facilities,Yes,Pass
17,Female,Others,Civil servant,More than 5 hours,Yes,56,46,Yes,Average,Confident,Yes,Uncomfortable,Good,Never,"More past questions, Better textbooks, Tutors",More teachers,Yes,Fail
20,Male,Ikorodu (Public),Civil servant,1-3 hours,No,61,74,Yes,Excellent,Confident,No,Comfortable,Fair,Always,"Counseling, Better textbooks, Tutors",Improved facilities,Yes,Fail
16,Male,Victoria Island (Private),Business owner,Less than 1 hour,No,95,65,No,Good,Not confident,No,Neutral,Poor,Never,"Tutors, Counseling, Better textbooks",Improved facilities,Yes,Fail
19,Female,Victoria Island (Private),Artisan,1-3 hours,Yes,40,78,Yes,Average,Somewhat confident,No,Neutral,Good,Occasionally,"Better textbooks, Counseling, More past questions",More teachers,Yes,Fail
19,Male,Victoria Island (Private),Teacher,3-5 hours,Yes,74,40,Yes,Average,Very confident,Yes,Neutral,Fair,Occasionally,"Extra lessons, Better textbooks",Extra classes,Yes,Fail
17,Female,Others,Civil servant,More than 5 hours,No,61,88,Yes,Excellent,Confident,No,Neutral,Poor,Always,"Better textbooks, Extra lessons, More past questions",Improved facilities,Yes,Fail
20,Male,Ikorodu (Public),Civil servant,Less than 1 hour,Yes,93,41,Yes,Average,Very confident,Yes,Comfortable,Good,Always,"Counseling, Extra lessons, Better textbooks",More teachers,No,Fail
20,Female,Lekki (Private),Business owner,1-3 hours,No,57,99,No,Poor,Very confident,No,Neutral,Excellent,Often,"More past questions, Counseling, Tutors",Extra classes,Yes,Fail
17,Female,Lekki (Private),Trader,More than 5 hours,Yes,74,47,No,Excellent,Somewhat confident,Yes,Uncomfortable,Excellent,Occasionally,"Counseling, Better textbooks",Improved facilities,Yes,Fail
17,Female,Ikorodu (Public),Trader,3-5 hours,Yes,59,47,No,Average,Confident,No,Comfortable,Poor,Always,"More past questions, Better textbooks",More practical lessons,Yes,Fail
20,Male,Ikorodu (Public),Artisan,3-5 hours,Yes,99,99,No,Excellent,Not confident,Yes,Neutral,Excellent,Always,Counseling,More practical lessons,No,Fail
16,Female,Victoria Island (Private),Civil servant,Less than 1 hour,Yes,72,68,Yes,Average,Somewhat confident,Yes,Comfortable,Poor,Occasionally,"Tutors, Extra lessons",More practical lessons,Yes,Fail
20,Male,Epe (Public),Civil servant,Less than 1 hour,No,67,40,No,Good,Somewhat confident,Yes,Comfortable,Good,Always,"Counseling, Better textbooks",More practical lessons,No,Fail
16,Male,Lekki (Private),Artisan,3-5 hours,Yes,97,49,No,Good,Confident,No,Neutral,Fair,Always,"Counseling, Better textbooks",More teachers,Yes,Fail
16,Male,Epe (Public),Business owner,Less than 1 hour,No,94,83,Yes,Good,Very confident,No,Comfortable,Good,Never,Better textbooks,Extra classes,No,Fail
18,Male,Lekki (Private),Trader,More than 5 hours,No,76,97,Yes,Excellent,Somewhat confident,Yes,Comfortable,Excellent,Often,More past questions,More practical lessons,Yes,Fail
16,Male,Epe (Public),Trader,Less than 1 hour,Yes,90,47,Yes,Good,Very confident,No,Uncomfortable,Good,Always,"Better textbooks, Tutors, Counseling",Extra classes,No,Fail
19,Male,Ikorodu (Public),Trader,Less than 1 hour,No,75,47,No,Good,Confident,No,Neutral,Fair,Often,Counseling,Extra classes,Yes,Fail
17,Male,Others,Teacher,More than 5 hours,Yes,57,60,No,Good,Somewhat confident,No,Comfortable,Excellent,Never,"Tutors, More past questions, Extra lessons",Improved facilities,Yes,Fail
17,Female,Epe (Public),Teacher,Less than 1 hour,No,52,93,No,Excellent,Confident,No,Comfortable,Good,Occasionally,"Better textbooks, Counseling",Extra classes,No,Fail
20,Male,Others,Business owner,3-5 hours,Yes,45,56,Yes,Poor,Somewhat confident,No,Uncomfortable,Poor,Often,Tutors,Extra classes,Yes,Fail
18,Male,Lekki (Private),Trader,3-5 hours,Yes,96,80,No,Average,Very confident,No,Uncomfortable,Excellent,Never,"More past questions, Extra lessons",More teachers,No,Fail
16,Male,Lekki (Private),Business owner,1-3 hours,Yes,77,60,Yes,Poor,Confident,Yes,Uncomfortable,Good,Often,Extra lessons,Extra classes,No,Pass
16,Female,Others,Civil servant,Less than 1 hour,No,54,65,Yes,Average,Somewhat confident,Yes,Uncomfortable,Fair,Often,"Better textbooks, Counseling, Extra lessons",Extra classes,Yes,Fail
17,Female,Lekki (Private),Business owner,1-3 hours,Yes,80,42,Yes,Good,Confident,No,Comfortable,Poor,Occasionally,"Tutors, Extra lessons, More past questions",More teachers,Yes,Fail
16,Female,Others,Business owner,Less than 1 hour,Yes,58,58,Yes,Poor,Not confident,Yes,Uncomfortable,Fair,Often,"Counseling, Extra lessons",Improved facilities,Yes,Fail
19,Female,Others,Artisan,1-3 hours,Yes,79,52,No,Poor,Very confident,Yes,Comfortable,Excellent,Always,"Tutors, Better textbooks, Extra lessons",Improved facilities,No,Pass
18,Female,Lekki (Private),Artisan,More than 5 hours,Yes,76,48,No,Excellent,Not confident,No,Comfortable,Good,Occasionally,Better textbooks,Improved facilities,No,Fail
20,Male,Victoria Island (Private),Teacher,More than 5 hours,Yes,83,86,No,Poor,Very confident,Yes,Comfortable,Excellent,Often,"Counseling, More past questions",More teachers,No,Pass
17,Male,Lekki (Private),Teacher,3-5 hours,Yes,60,83,Yes,Good,Not confident,No,Comfortable,Good,Often,More past questions,Improved facilities,No,Fail
20,Male,Victoria Island (Private),Business owner,Less than 1 hour,Yes,93,57,No,Excellent,Not confident,Yes,Neutral,Fair,Always,"Extra lessons, Better textbooks",More practical lessons,No,Fail
19,Male,Lekki (Private),Trader,1-3 hours,No,68,65,No,Average,Somewhat confident,No,Neutral,Poor,Often,"Counseling, Tutors",Extra classes,Yes,Fail
17,Male,Epe (Public),Artisan,Less than 1 hour,Yes,44,77,Yes,Poor,Confident,No,Uncomfortable,Good,Occasionally,"More past questions, Tutors",Improved facilities,No,Fail
16,Male,Epe (Public),Teacher,3-5 hours,Yes,87,41,Yes,Poor,Somewhat confident,Yes,Comfortable,Excellent,Never,Extra lessons,More practical lessons,Yes,Fail
20,Male,Lekki (Private),Civil servant,3-5 hours,Yes,52,75,No,Excellent,Somewhat confident,No,Neutral,Fair,Occasionally,Counseling,Improved facilities,No,Fail
17,Male,Lekki (Private),Artisan,1-3 hours,No,90,59,Yes,Average,Confident,No,Uncomfortable,Excellent,Often,"Better textbooks, Tutors, Counseling",Improved facilities,No,Fail
18,Female,Epe (Public),Business owner,More than 5 hours,No,96,88,Yes,Average,Not confident,Yes,Uncomfortable,Good,Never,"Counseling, Better textbooks",Extra classes,No,Fail
18,Male,Ikorodu (Public),Business owner,More than 5 hours,No,54,45,No,Poor,Confident,No,Uncomfortable,Excellent,Always,"Counseling, Tutors, Better textbooks",More teachers,No,Fail
16,Male,Lekki (Private),Trader,Less than 1 hour,No,67,56,No,Average,Very confident,No,Uncomfortable,Poor,Often,Tutors,Improved facilities,Yes,Fail
19,Male,Ikorodu (Public),Business owner,1-3 hours,Yes,64,46,No,Average,Confident,Yes,Comfortable,Good,Always,"Counseling, More past questions, Extra lessons",Improved facilities,Yes,Fail
18,Male,Victoria Island (Private),Business owner,More than 5 hours,Yes,84,87,No,Average,Very confident,Yes,Uncomfortable,Poor,Never,More past questions,Improved facilities,No,Pass
16,Female,Others,Artisan,3-5 hours,No,73,98,No,Excellent,Confident,No,Comfortable,Good,Often,"Tutors, Extra lessons, More past questions",More practical lessons,No,Fail
17,Male,Victoria Island (Private),Artisan,Less than 1 hour,No,73,60,Yes,Excellent,Not confident,Yes,Neutral,Excellent,Occasionally,"Better textbooks, Tutors",Improved facilities,No,Fail
17,Male,Lekki (Private),Teacher,Less than 1 hour,No,92,76,Yes,Good,Somewhat confident,Yes,Uncomfortable,Excellent,Never,Extra lessons,More teachers,Yes,Fail
17,Female,Ikorodu (Public),Business owner,More than 5 hours,No,91,90,No,Poor,Somewhat confident,Yes,Uncomfortable,Excellent,Always,Better textbooks,More practical lessons,Yes,Fail
20,Female,Epe (Public),Civil servant,1-3 hours,Yes,100,80,Yes,Excellent,Not confident,No,Uncomfortable,Excellent,Occasionally,"More past questions, Counseling, Tutors",More teachers,Yes,Fail
20,Female,Epe (Public),Business owner,1-3 hours,No,95,72,No,Excellent,Somewhat confident,Yes,Neutral,Good,Often,More past questions,More practical lessons,Yes,Fail
18,Male,Epe (Public),Civil servant,1-3 hours,No,74,80,Yes,Poor,Confident,No,Comfortable,Good,Occasionally,"More past questions, Counseling, Tutors",Extra classes,Yes,Fail
16,Female,Ikorodu (Public),Teacher,1-3 hours,Yes,52,91,No,Excellent,Not confident,Yes,Uncomfortable,Good,Occasionally,More past questions,More practical lessons,No,Fail
19,Male,Epe (Public),Trader,Less than 1 hour,No,48,98,Yes,Excellent,Very confident,Yes,Comfortable,Good,Always,"Extra lessons, Better textbooks",More teachers,Yes,Fail
18,Male,Lekki (Private),Civil servant,More than 5 hours,Yes,52,50,No,Excellent,Very confident,No,Comfortable,Poor,Often,Counseling,Improved facilities,No,Fail
19,Female,Epe (Public),Teacher,More than 5 hours,Yes,95,96,No,Poor,Somewhat confident,No,Uncomfortable,Fair,Never,"Tutors, More past questions",More practical lessons,Yes,Fail
18,Female,Others,Civil servant,3-5 hours,Yes,90,67,Yes,Good,Somewhat confident,No,Neutral,Excellent,Always,"Counseling, More past questions, Better textbooks",More teachers,Yes,Fail
16,Female,Victoria Island (Private),Teacher,More than 5 hours,Yes,70,61,Yes,Excellent,Very confident,No,Neutral,Excellent,Never,"More past questions, Counseling",Extra classes,No,Fail
17,Female,Others,Business owner,More than 5 hours,Yes,52,54,Yes,Excellent,Very confident,No,Comfortable,Poor,Often,"More past questions, Tutors",Extra classes,No,Fail
18,Male,Lekki (Private),Trader,1-3 hours,No,64,60,No,Average,Somewhat confident,No,Comfortable,Poor,Never,Tutors,More teachers,No,Fail
18,Female,Ikorodu (Public),Artisan,Less than 1 hour,Yes,61,55,Yes,Good,Not confident,Yes,Comfortable,Fair,Always,Extra lessons,More practical lessons,No,Fail
19,Female,Lekki (Private),Business owner,More than 5 hours,Yes,60,81,No,Good,Confident,No,Neutral,Poor,Often,"Counseling, Better textbooks",More practical lessons,No,Fail
20,Female,Ikorodu (Public),Teacher,More than 5 hours,Yes,93,85,No,Average,Somewhat confident,Yes,Neutral,Excellent,Always,Tutors,Improved facilities,No,Fail
17,Male,Epe (Public),Business owner,More than 5 hours,Yes,58,74,No,Poor,Very confident,Yes,Neutral,Poor,Often,Better textbooks,More teachers,No,Pass
20,Male,Victoria Island (Private),Business owner,More than 5 hours,No,69,48,Yes,Good,Somewhat confident,No,Neutral,Excellent,Never,"Tutors, Extra lessons, Counseling",Extra classes,No,Fail
20,Male,Ikorodu (Public),Business owner,1-3 hours,No,41,86,Yes,Poor,Not confident,Yes,Neutral,Fair,Never,Extra lessons,Improved facilities,Yes,Fail
16,Female,Victoria Island (Private),Trader,More than 5 hours,Yes,97,42,Yes,Average,Somewhat confident,No,Comfortable,Excellent,Always,"More past questions, Tutors, Better textbooks",Extra classes,No,Fail
18,Male,Victoria Island (Private),Teacher,3-5 hours,Yes,81,55,No,Excellent,Confident,No,Uncomfortable,Excellent,Always,"Extra lessons, Better textbooks, Counseling",Extra classes,No,Fail
18,Male,Others,Artisan,3-5 hours,No,69,76,No,Excellent,Somewhat confident,Yes,Neutral,Good,Always,"Tutors, Better textbooks",Improved facilities,Yes,Fail
20,Male,Victoria Island (Private),Business owner,1-3 hours,Yes,66,48,No,Poor,Somewhat confident,Yes,Comfortable,Good,Often,Better textbooks,Improved facilities,Yes,Fail
